timestamp,ir_value
3396,14225
3404,14206
3412,14219
3420,14228
3428,14225
3436,14222
3444,14207
3452,14220
3460,14227
3468,14223
3476,14183
3484,14233
3492,14221
3500,14212
3508,14224
3516,14189
3524,14205
3532,14229
3540,14201
3548,14227
3556,14225
3564,14181
3572,14201
3580,14192
3588,14217
3596,14162
3604,14180
3612,14212
3620,14229
3628,14226
3636,14164
3644,14207
3652,14224
3660,14209
3668,14216
3676,14202
3684,14206
3692,14224
3700,14259
3708,14217
3716,14259
3724,14185
3732,14221
3740,14232
3748,14218
3756,14265
3764,14239
3772,14207
3780,14251
3788,14213
3796,14254
3804,14210
3812,14201
3820,14223
3828,14199
3836,14247
3844,14185
3852,14203
3860,14224
3868,14205
3876,14228
3884,14210
3892,14200
3900,14199
3908,14214
3916,14217
3924,14202
3932,14187
3940,14224
3948,14247
3956,14229
3964,14223
3972,14215
3980,14221
3988,14219
3996,14214
4004,14268
4012,14199
4020,14203
4028,14248
4036,14233
4044,14271
4052,14212
4060,14217
4068,14204
4076,14204
4084,14222
4092,14197
4100,14200
4108,14228
4116,14214
4124,14218
4132,14176
4140,14206
4148,14222
4156,14216
4164,14218
4172,14176
4180,14226
4188,14230
4196,14230
4204,14232
4212,14213
4220,14198
4228,14194
4236,14218
4244,14226
4252,14250
4260,14224
4268,14183
4276,14238
4284,14214
4292,14266
4300,14230
4308,14196
4316,14224
4324,14210
4332,14257
4340,14199
4348,14197
4356,14208
4364,14199
4372,14204
4380,14190
4388,14218
5016,14211
5024,14220
5032,14244
5040,14192
5048,14222
5056,14209
5064,14230
5072,14206
5080,14175
5088,14226
5096,14205
5104,14232
5112,14203
5120,14196
5128,14216
5136,14225
5144,14223
5152,14237
5160,14242
5168,14190
5176,14251
5184,14237
5192,14248
5200,14283
5208,14238
5216,14278
5224,14255
5232,14357
5240,14450
5248,14482
5256,14604
5264,14642
5272,14722
5280,14827
5288,14822
5296,14973
5304,15092
5312,15234
5320,15372
5328,15451
5336,15546
5344,15599
5352,15675
5360,15741
5368,15740
5376,15829
5384,15879
5392,15865
5400,15771
5408,15451
5416,15468
5424,15336
5432,15152
5440,15084
5448,15098
5456,15082
5464,15166
5472,15154
5480,15147
5488,15112
5496,15051
5504,15033
5512,15025
5520,15021
5528,15086
5536,15065
5544,15201
5552,15348
5560,15542
5568,15740
5576,15820
5584,15944
5592,15993
5600,16017
5608,16040
5616,15991
5624,16019
5632,16017
5640,16053
5648,16041
5656,15966
5664,16021
5672,16029
5680,16024
5688,16042
5696,16033
5704,16175
5712,16289
5720,16425
5728,16619
5736,16940
5744,17461
5752,18737
5760,19344
5768,20125
5776,21176
5784,22085
5792,23476
5800,24122
5808,24556
5816,24652
5824,24444
5832,24176
5840,24238
5848,24569
5856,25040
5864,25847
5872,27439
5880,29008
5888,30668
5896,32720
5904,35396
5912,37993
5920,39955
5928,41774
5936,43267
5944,45568
5952,48928
5960,51579
5968,54706
5976,58028
5984,62094
5992,66567
6000,70507
6008,73587
6449,100653
6457,99354
6465,99353
6473,99290
6481,99261
6489,99202
6497,99180
6505,99190
6513,99048
6521,99059
6529,98965
6537,98946
6545,98897
6553,98826
6561,98858
6569,98793
6577,98778
6585,98751
6593,98714
6601,98639
6609,98620
6617,98579
6625,98586
6633,98569
6641,98498
6649,98454
6657,98413
6665,98391
6673,98406
6681,98332
6689,98348
6697,98345
6705,98373
6713,98427
6721,98387
6729,98496
6737,98523
6745,98581
6753,98607
6761,98640
6769,98709
6777,98662
6785,98684
6793,98630
6801,98387
6809,98599
6817,98585
6825,98597
6833,98546
6841,98514
6849,98537
6857,98551
6865,98545
6873,98543
6881,98540
6889,98463
6897,98444
6905,98414
6913,98414
6921,98442
6929,98338
6937,98362
6945,98359
6953,98366
6961,98395
6969,98406
6977,98442
6985,98448
6993,98495
7001,98498
7009,98510
7017,98546
7025,98544
7033,98610
7041,98624
7049,98678
7057,98721
7065,98709
7073,98739
7081,98775
7089,98761
7097,98796
7105,98834
7113,98859
7121,98868
7129,98678
7137,98952
7145,98983
7153,98993
7161,99022
7169,98994
7177,99002
7185,99081
7193,99086
7201,99099
7209,99151
7217,99124
7225,99168
7233,99189
7241,99206
7249,99290
7257,99251
7265,99283
7273,99270
7281,99317
7289,99374
7297,99353
7305,99387
7313,99387
7321,99424
7329,99487
7337,99448
7345,99523
7353,99583
7361,99578
7369,99623
7377,99579
7385,99646
7393,99637
7401,99695
7409,99663
7417,99648
7425,99714
7433,99724
7441,99742
7885,99618
7893,99625
7901,99624
7909,99648
7917,99672
7925,99690
7933,99768
7941,99735
7949,99804
7957,99770
7965,99776
7973,99813
7981,99781
7989,99831
7997,99830
8005,99852
8013,99851
8021,99823
8029,99846
8037,99824
8045,99821
8053,99804
8061,99718
8069,99751
8077,99772
8085,99759
8093,99757
8101,99714
8109,99677
8117,99715
8125,99674
8133,99709
8141,99716
8149,99710
8157,99782
8165,99758
8173,99801
8181,99817
8189,99754
8197,99797
8205,99765
8213,99796
8221,99801
8229,99782
8237,99838
8245,99789
8253,99826
8261,99829
8269,99784
8277,99823
8285,99834
8293,99843
8301,99834
8309,99782
8317,99845
8325,99834
8333,99820
8341,99874
8349,99811
8357,99820
8365,99874
8373,99846
8381,99846
8389,99862
8397,99842
8405,99882
8413,99861
8421,99877
8429,99924
8437,99869
8445,99879
8453,99873
8461,99873
8469,99911
8477,99876
8485,99875
8493,99846
8501,99901
8509,99882
8517,99870
8525,99919
8533,99877
8541,99923
8549,99884
8557,99861
8565,99917
8573,99921
8581,99913
8589,99924
8597,99855
8605,99875
8613,99904
8621,99839
8629,99851
8637,99789
8645,99788
8653,99767
8661,99737
8669,99762
8677,99757
8685,99730
8693,99735
8701,99725
8709,99764
8717,99784
8725,99773
8733,99782
8741,99772
8749,99811
8757,99819
8765,99813
8773,99830
8781,99854
8789,99882
8797,99869
8805,99829
8813,99903
8821,99888
8829,99884
8837,99916
8845,99840
8853,99914
8861,99932
8869,99925
8877,99912
9323,99928
9331,99899
9339,99930
9347,99929
9355,99983
9363,99927
9371,99959
9379,99936
9387,99956
9395,99957
9403,99935
9411,99903
9419,99946
9427,99927
9435,99957
9443,99918
9451,99933
9459,99914
9467,99922
9475,99957
9483,99934
9491,99962
9499,99925
9507,99913
9515,99916
9523,99930
9531,99944
9539,99943
9547,99980
9555,99930
9563,99966
9571,99988
9579,99950
9587,99969
9595,99938
9603,99987
9611,100006
9619,99985
9627,99995
9635,99930
9643,99995
9651,100008
9659,99989
9667,100006
9675,99988
9683,99978
9691,99984
9699,99924
9707,99950
9715,99934
9723,99874
9731,99851
9739,99828
9747,99806
9755,99857
9763,99783
9771,99831
9779,99847
9787,99850
9795,99906
9803,99867
9811,99923
9819,99944
9827,99952
9835,99954
9843,99923
9851,99975
9859,99997
9867,99985
9875,100000
9883,99955
9891,99989
9899,100019
9907,99981
9915,100007
9923,99992
9931,99995
9939,99994
9947,100001
9955,100028
9963,100049
9971,99985
9979,100017
9987,99989
9995,99988
10003,100039
10011,100015
10019,99980
10027,100004
10035,100017
10043,100020
10051,99957
10059,100027
10067,100028
10075,100005
10083,100038
10091,99986
10099,100026
10107,100059
10115,100028
10123,100044
10131,100020
10139,100052
10147,100082
10155,100057
10163,100099
10171,100114
10179,100111
10187,100130
10195,100111
10203,100144
10211,100183
10219,100131
10227,100108
10235,100084
10243,100069
10251,100098
10259,99989
